name,Total_value,Total_weight,is_optimal,solution_time
2-5000-0-30,1583546,1230946,False,30.00111
2-5000-1-77,15720695,12195695,False,30.00207
2-10000-0-73,3160135,2454935,False,30.00044
2-10000-1-46,31805840,24767840,False,30.00083
3-50-0-56,12080,13680,True,0.02179
3-50-1-96,136883,152883,True,0.0007
3-100-0-51,30013,33413,True,0.50052
3-100-1-82,267858,299858,True,6.12805
3-200-0-16,50260,56460,False,30.01939
3-200-1-86,524364,587364,True,0.00064
3-500-0-85,130107,145807,False,30.01796
3-500-1-18,1342813,1500813,False,30.00324
3-1000-0-48,270528,302328,False,30.0042
3-1000-1-31,2673456,2987456,False,30.00331
3-2000-0-1,533259,596359,False,30.00315
3-2000-1-27,5401052,6039052,False,30.00253
3-5000-0-32,1328016,1485816,False,30.00135
3-5000-1-7,13165196,14723196,False,30.00052
3-10000-0-31,2681440,2997540,False,30.00105
3-10000-1-83,26801412,29969412,False,30.03052
4-50-0-14,15312,11823,True,0.00157
4-50-1-13,159378,125361,True,0.01748
4-100-0-94,31399,24280,True,6e-05
4-100-1-80,311951,239821,True,0.00548
4-200-0-31,61993,47801,True,0.00018
4-200-1-61,619979,479983,False,30.00092
4-500-0-75,157569,122406,False,30.0049
4-500-1-68,1594407,1241983,True,2.85173
4-1000-0-21,319354,249553,False,30.00496
4-1000-1-47,3206837,2507809,False,30.00267
4-2000-0-89,634219,492957,False,30.0007
4-2000-1-61,6297296,4880247,True,0.09014
4-5000-0-4,1595203,1243993,False,30.00068
4-5000-1-71,15918734,12405451,False,7727.2083
4-10000-0-55,3183130,2479580,False,30.00138
4-10000-1-56,31901556,24867981,False,30.00046
5-50-0-82,11964,11964,True,2e-05
5-50-1-8,118104,118104,True,0.00115
5-100-0-98,25302,25302,True,2e-05
5-100-1-47,250496,250496,True,6e-05
5-200-0-17,51029,51029,True,8e-05
5-200-1-19,455956,455956,True,0.0004
5-500-0-84,128452,128452,True,0.00026
5-500-1-52,1239065,1239065,True,0.00138
5-1000-0-7,238732,238732,True,0.00048
5-1000-1-42,2537686,2537686,True,0.00103
5-2000-0-47,496211,496211,True,0.00072
5-2000-1-70,4936244,4936244,True,0.00502
5-5000-0-57,1241830,1241830,True,0.00117
5-5000-1-23,12296431,12296431,True,0.0046
5-10000-0-30,2455844,2455844,True,0.00204
5-10000-1-59,24895503,24895503,True,0.0455
6-50-0-46,17648,2400924,True,0.00134
6-50-1-33,17986,2401011,True,0.02112
6-100-0-61,34559,4902320,True,0.12655
6-100-1-27,36816,4902633,True,0.08934
6-200-0-86,73614,9905057,True,1e-05
6-200-1-77,77739,9905285,True,0.0
6-500-0-50,184670,24712081,False,30.00781
6-500-1-85,180745,24713060,False,30.00317
6-1000-0-18,373817,49524889,True,0.13053
6-1000-1-8,371789,49523569,True,0.60065
6-2000-0-71,743732,99048679,False,30.01748
6-2000-1-80,743009,99049233,False,30.00563
6-5000-0-5,1861906,247624073,False,30.00258
6-5000-1-48,1885235,247621728,False,30.0023
6-10000-0-13,3720145,495249028,False,30.00092
6-10000-1-96,3712455,495247760,False,30.00087
7-50-0-72,6654,8667,True,2.08019
7-50-1-44,83236,56212,True,2.45773
7-100-0-53,18876,13989,False,30.02729
7-100-1-93,191499,118734,False,30.03276
7-200-0-18,35696,13632,False,30.02187
7-200-1-47,244170,199560,False,30.02326
7-500-0-62,70812,74184,False,30.02213
7-500-1-95,852181,958214,False,30.66658
7-1000-0-96,249616,72450,False,30.00721
7-1000-1-36,2510267,2422782,False,30.0198
7-2000-0-1,443575,254104,False,30.00002
7-2000-1-20,4638480,4073220,False,30.00182
7-5000-0-23,1711278,596652,False,30.00178
7-5000-1-66,4184299,4290388,False,30.00089
7-10000-0-59,2564912,1216496,False,30.00096
7-10000-1-23,33944124,12049742,False,30.00128
8-50-0-83,6499,7469,True,0.61552
8-50-1-97,140544,64344,True,3.83824
8-100-0-99,10330,7542,False,30.03841
8-100-1-78,435107,132794,False,30.0117
8-200-0-93,45032,35939,False,30.02161
8-200-1-43,266618,176027,False,30.03103
8-500-0-17,211067,78671,False,3377.7498
8-500-1-23,2334703,1193640,False,30.00449
8-1000-0-57,115893,77751,False,30.02505
8-1000-1-30,2295705,1014010,False,30.00401
8-2000-0-27,855033,340779,False,30.00082
8-2000-1-37,7350422,1924562,False,30.00449
8-5000-0-92,1204057,597679,False,30.00276
8-5000-1-90,11701468,1847176,False,30.00198
8-10000-0-88,2882912,712823,False,30.00022
8-10000-1-8,22002576,14557344,False,30.00034
9-50-0-95,23367,7567,True,0.00083
9-50-1-88,226573,38573,True,1.12102
9-100-0-31,36109,1409,False,30.01638
9-100-1-42,493892,71892,False,30.02221
9-200-0-76,109928,34528,False,30.02448
9-200-1-50,825954,173954,False,30.03502
9-500-0-78,255762,58362,False,30.00875
9-500-1-47,2015726,493726,False,30.0072
9-1000-0-47,396802,97202,False,30.00369
9-1000-1-25,5191150,1616150,False,30.01451
9-2000-0-31,823809,30309,False,30.00002
9-2000-1-20,9893674,3855674,False,30.0022
9-5000-0-45,2138880,465380,False,30.00156
9-5000-1-26,24481032,5848032,False,30.0017
9-10000-0-52,5313609,1269909,False,30.00123
9-10000-1-7,40342425,5880425,False,30.00126
10-50-0-56,18900,11200,True,0.0
10-50-1-95,194328,114328,True,0.00029
10-100-0-59,40988,25788,True,1e-05
10-100-1-22,427398,274398,True,7.79539
10-200-0-95,79502,47802,True,0.24887
10-200-1-4,814884,493884,True,0.18356
10-500-0-83,204316,130416,False,30.00618
10-500-1-38,2017832,1238832,False,30.00221
10-1000-0-1,409472,254772,False,30.00568
10-1000-1-62,4031154,2492154,True,0.1907
10-2000-0-39,788386,477486,False,30.00392
10-2000-1-86,8010218,4924218,False,275.98531
10-5000-0-3,2008802,1233302,False,30.00214
10-5000-1-77,19951610,12196610,False,30.00369
10-10000-0-17,4014276,2469776,False,30.00052
10-10000-1-91,40322422,24931422,False,30.0183
11-50-0-64,11442,11449,True,0.00038
11-50-1-8,118092,118104,True,3.74128
11-100-0-16,22452,22466,True,0.00058
11-100-1-19,225780,225782,True,0.00076
11-200-0-66,49839,49865,True,4.08589
11-200-1-68,512445,512469,True,0.3786
11-500-0-6,124869,124920,False,30.01272
11-500-1-71,1219761,1219810,False,30.00502
11-1000-0-84,253938,254028,False,30.00663
11-1000-1-39,2410191,2410289,False,30.00851
11-2000-0-15,503112,503301,False,30.00212
11-2000-1-44,4887297,4887515,False,30.00234
11-5000-0-5,1238970,1239442,False,30.00102
11-5000-1-61,12353964,12354449,False,30.00112
11-10000-0-19,2468349,2469225,False,30.0006
11-10000-1-89,24728979,24729918,False,30.00068
12-50-0-56,236097,11205,True,0.09225
12-50-1-99,8518768,127788,True,0.07014
12-100-0-81,541269,25688,True,0.03863
12-100-1-56,15407485,231124,False,30.02259
12-200-0-44,991936,47076,False,30.0278
12-200-1-94,34856505,522874,True,9.76645
12-500-0-38,2612646,123993,False,30.01826
12-500-1-38,82584690,1238833,False,30.07448
12-1000-0-99,5134117,243659,False,30.00452
12-1000-1-18,166787626,2501941,False,30.01457
12-2000-0-68,10538378,500138,False,30.00436
12-2000-1-23,327221320,4908568,False,30.00382
12-5000-0-41,26081213,1237782,False,30.00137
12-5000-1-53,829050865,12436392,False,30.0001
12-10000-0-24,51736080,2455328,False,30.00104
12-10000-1-91,1662010973,24931425,False,30.00101
0-50-0-10,20167,11420,True,3e-05
0-50-1-85,194996,128346,True,2e-05
0-100-0-87,38094,23480,True,2e-05
0-100-1-87,380681,234503,True,1e-05
0-200-0-66,81949,48226,True,1e-05
0-200-1-52,829152,485468,True,1e-05
0-500-0-52,203155,124496,True,0.00019
0-500-1-64,2004851,1242750,True,0.00093
0-1000-0-79,405079,245856,True,0.00051
0-1000-1-49,3988178,2416187,True,0.00056
0-2000-0-83,816113,502514,True,0.00012
0-2000-1-71,8093712,4925222,True,0.00142
0-5000-0-29,2021931,1227858,True,0.00027
0-5000-1-75,20154802,12247732,True,0.00206
0-10000-0-76,4065015,2487736,True,0.01676
0-10000-1-39,40204288,24889142,True,0.02844
1-50-0-93,13798,12451,True,0.00011
1-50-1-66,137217,125096,True,4e-05
1-100-0-31,27053,25079,True,0.00014
1-100-1-28,246568,223509,True,0.00012
1-200-0-66,54707,49864,True,0.00016
1-200-1-12,534216,485575,True,0.00012
1-500-0-66,136652,124024,True,0.00065
1-500-1-99,1343427,1209963,True,0.00115
1-1000-0-86,273479,248250,True,0.00015
1-1000-1-42,2789943,2537676,True,0.00281
1-2000-0-48,563400,510246,True,0.00202
1-2000-1-63,5471364,4943877,True,4e-05
1-5000-0-17,1370413,1243343,True,0.01246
1-5000-1-81,13722403,12429821,True,0.00325
1-10000-0-40,2715084,2456533,True,0.34535
1-10000-1-4,27339642,24750843,True,0.02696
2-50-0-50,17552,14252,True,0.04706
2-50-1-8,154094,118094,True,4e-05
2-100-0-89,32088,24988,True,3.12114
2-100-1-43,331638,262638,True,0.02517
2-200-0-45,64801,51001,False,60.01284
2-200-1-39,601464,457464,False,60.00247
2-500-0-47,159860,124760,False,60.0267
2-500-1-53,1586673,1235673,False,60.00537
2-1000-0-12,319644,249544,False,60.02568
2-1000-1-30,3117652,2409652,False,60.01099
2-2000-0-54,645563,505363,False,60.00545
2-2000-1-52,6368197,4962197,False,60.0038
2-5000-0-56,1596339,1244939,False,60.02321
2-5000-1-92,15769841,12249841,False,60.00293
2-10000-0-40,3161439,2456039,False,60.00093
2-10000-1-92,31516780,24461780,False,60.00211
3-50-0-63,13656,15256,True,0.00037
3-50-1-98,134939,150939,True,1e-05
3-100-0-66,26079,29179,True,0.02891
3-100-1-72,267709,299709,True,17.67534
3-200-0-9,50392,56492,True,0.00375
3-200-1-86,524364,587364,True,0.00047
3-500-0-71,131001,146801,False,9327.7589
3-500-1-23,1364530,1525530,False,60.02282
3-1000-0-14,261871,292671,True,1.50747
3-1000-1-89,2655657,2968657,False,60.01446
3-2000-0-27,540391,604191,False,60.07736
3-2000-1-94,5390980,6025980,True,0.02187
3-5000-0-17,1331815,1490715,False,60.00269
3-5000-1-14,13273888,14840888,False,60.00211
3-10000-0-21,2649629,2964229,False,60.0014
3-10000-1-80,26563169,29704169,False,60.00291
4-50-0-39,15519,12031,True,5e-05
4-50-1-20,151571,116661,True,0.03291
4-100-0-48,30535,23432,True,0.00617
4-100-1-19,296791,225775,True,0.09194
4-200-0-68,65100,51293,True,0.00067
4-200-1-43,641662,502853,False,60.00784
4-500-0-89,160529,125430,False,60.00747
4-500-1-15,1651362,1305179,False,60.01039
4-1000-0-68,321000,250745,True,0.00093
4-1000-1-29,3130060,2423039,False,60.00836
4-2000-0-10,637975,498045,False,60.00898
4-2000-1-60,6404935,5009615,True,0.00113
4-5000-0-97,1588106,1237716,False,60.00284
4-5000-1-77,15723669,12197819,False,60.00027
4-10000-0-22,3203713,2501939,False,60.00242
4-10000-1-32,31698277,24656022,False,60.00082
5-50-0-46,11382,11382,True,0.00022
5-50-1-80,116230,116230,True,0.00025
5-100-0-97,24950,24950,True,0.0002
5-100-1-16,224429,224429,True,0.00023
5-200-0-88,49609,49609,True,0.00053
5-200-1-19,455956,455956,True,0.00038
5-500-0-80,119062,119062,True,2e-05
5-500-1-72,1280119,1280119,True,0.00262
5-1000-0-15,255523,255523,True,0.00038
5-1000-1-50,2503031,2503031,True,0.00257
5-2000-0-20,490184,490184,True,0.0002
5-2000-1-57,4968371,4968371,True,0.03432
5-5000-0-78,1253899,1253899,True,0.00303
5-5000-1-75,12239988,12239988,True,0.02333
5-10000-0-34,2471693,2471693,True,0.00566
5-10000-1-13,24709507,24709507,True,0.02431
6-50-0-28,16604,2401284,True,0.00186
6-50-1-17,20473,2401124,True,0.00864
6-100-0-38,34609,4902353,True,0.02415
6-100-1-13,36240,4902157,True,0.01516
6-200-0-46,72579,9905492,True,0.0
6-200-1-75,74752,9904655,True,0.0
6-500-0-27,189566,24712984,False,60.0222
6-500-1-76,185947,24712082,False,60.01646
6-1000-0-33,377574,49525645,True,0.00459
6-1000-1-83,372647,49524765,True,15.67033
6-2000-0-80,743009,99049233,False,60.02446
6-2000-1-35,734991,99049996,False,60.02336
6-5000-0-89,1865038,247624250,False,60.00531
6-5000-1-40,1847387,247623107,False,60.0052
6-10000-0-89,3738287,495246414,False,60.00141
6-10000-1-33,3721351,495247754,False,60.00151
7-50-0-68,10937,10588,True,0.038
7-50-1-59,144207,64908,True,2.12396
7-100-0-76,20243,6363,False,60.04141
7-100-1-5,166638,211670,False,60.04089
7-200-0-9,31064,21918,False,60.02961
7-200-1-75,322131,195735,False,60.04482
7-500-0-39,37832,35447,False,60.03506
7-500-1-41,586193,693926,False,60.04964
7-1000-0-84,319486,3966,True,1e-05
7-1000-1-30,1668728,844803,False,60.0189
7-2000-0-33,406941,270542,True,57.93134
7-2000-1-21,3507018,2748072,False,60.0113
7-5000-0-56,1237177,619212,False,60.0045
7-5000-1-37,8783924,9084987,False,60.00472
7-10000-0-8,1512267,1010382,False,60.00067
7-10000-1-92,13506384,14085931,False,60.00226
8-50-0-42,6234,3630,True,2.40233
8-50-1-26,108797,54659,True,0.23666
8-100-0-67,36432,11448,False,60.02995
8-100-1-20,405591,185817,False,60.03899
8-200-0-87,57066,7842,True,0.0076
8-200-1-79,148399,115840,False,60.05187
8-500-0-79,39875,29725,False,60.01612
8-500-1-5,1925160,822280,False,60.02543
8-1000-0-43,137078,89460,False,60.02452
8-1000-1-61,3262913,1284858,False,60.01351
8-2000-0-44,632172,229732,False,60.01676
8-2000-1-5,7948054,3394830,False,60.01749
8-5000-0-10,1047581,619047,False,60.00289
8-5000-1-54,13298654,6390850,False,60.01467
8-10000-0-82,2906772,771894,False,60.00177
8-10000-1-18,13819143,10389417,False,60.00343
9-50-0-98,23233,7033,True,11.04071
9-50-1-20,221659,88659,True,0.47661
9-100-0-99,42724,7524,False,60.0535
9-100-1-38,439803,134803,False,60.05121
9-200-0-94,97750,17150,True,2e-05
9-200-1-90,778542,76542,False,62.60234
9-500-0-71,227913,58813,False,60.00846
9-500-1-5,2258118,823118,False,60.03739
9-1000-0-80,442187,98387,False,60.03121
9-1000-1-11,4203491,1240491,False,60.02224
9-2000-0-51,880770,185070,False,60.02894
9-2000-1-33,8733902,2988902,False,60.00797
9-5000-0-3,2232018,473018,False,60.01119
9-5000-1-3,22327184,4798184,False,60.00438
9-10000-0-67,5017277,1010577,False,60.00174
9-10000-1-47,39551009,9688009,False,60.00147
10-50-0-45,20083,11983,True,2e-05
10-50-1-15,208715,130715,True,4e-05
10-100-0-48,38630,23430,True,0.10338
10-100-1-84,409766,254766,True,0.5726
10-200-0-52,80968,50568,True,26.67746
10-200-1-19,768952,455952,False,60.0074
10-500-0-38,202190,123990,False,60.02995
10-500-1-69,1988940,1223940,False,60.00999
10-1000-0-19,394944,238944,False,60.01025
10-1000-1-33,4041780,2499780,False,60.00345
10-2000-0-26,800316,489816,False,60.00345
10-2000-1-59,8088857,5032857,False,60.00882
10-5000-0-55,2006666,1234866,False,60.01838
10-5000-1-15,20205162,12492162,False,60.01662
10-10000-0-83,4042786,2503986,False,60.00701
10-10000-1-54,40286012,24832012,False,60.00131
11-50-0-6,13317,13326,True,0.03223
11-50-1-78,120546,120548,True,1.9779
11-100-0-53,23730,23741,True,0.06674
11-100-1-36,247479,247483,True,0.00044
11-200-0-85,48792,48810,True,0.10527
11-200-1-68,512445,512469,True,0.36126
11-500-0-30,123264,123318,False,60.17458
11-500-1-35,1188378,1188432,False,60.14818
11-1000-0-36,251007,251098,False,60.01037
11-1000-1-29,2425356,2425455,False,60.01402
11-2000-0-59,503529,503727,False,60.01218
11-2000-1-22,4930542,4930720,False,60.00789
11-5000-0-40,1228662,1229130,False,60.00352
11-5000-1-43,12400401,12400879,False,60.00305
11-10000-0-90,2489799,2490763,False,60.00114
11-10000-1-62,25018032,25018904,False,60.00116
12-50-0-39,253589,12035,True,0.05622
12-50-1-3,8801622,132031,True,3.283
12-100-0-30,545671,25897,False,60.03883
12-100-1-87,15215696,228247,True,2.15784
12-200-0-38,995052,47224,False,60.03047
12-200-1-27,33835088,507552,False,60.74041
12-500-0-77,2627841,124714,False,60.03217
12-500-1-79,80099819,1201558,False,60.02581
12-1000-0-55,5254949,249393,False,60.03464
12-1000-1-66,165408569,2481254,False,60.02662
12-2000-0-18,10468737,496833,False,60.00044
12-2000-1-52,330947410,4964462,False,60.00419
12-5000-0-77,25725347,1220893,False,60.00284
12-5000-1-2,827211362,12408798,False,60.00004
12-10000-0-33,51936875,2464860,False,60.00244
12-10000-1-56,1658047833,24871975,False,59.99999
0-50-0-91,21416,13562,True,1e-05
0-50-1-49,180893,130802,True,1e-05
0-100-0-49,40871,23328,True,0.00011
0-100-1-68,425869,251097,True,4e-05
0-200-0-38,76124,51703,True,1e-05
0-200-1-40,794847,459212,True,4e-05
0-500-0-67,204220,128817,True,0.00013
0-500-1-38,2033730,1290105,True,0.00017
0-1000-0-3,399233,247585,True,0.00071
0-1000-1-66,4010613,2472556,True,0.00016
0-2000-0-68,819606,503891,True,7e-05
0-2000-1-75,8069182,4899453,True,0.00026
0-5000-0-9,2014059,1223184,True,0.00038
0-5000-1-50,20127696,12508577,True,0.02107
0-10000-0-95,4059574,2482474,True,0.00123
0-10000-1-8,40280030,24622649,True,0.01131
1-50-0-55,13152,12074,True,0.00067
1-50-1-22,152923,139790,True,2e-05
1-100-0-33,25693,22942,True,5e-05
1-100-1-45,267549,237649,True,3e-05
1-200-0-57,53057,47525,True,0.00025
1-200-1-65,563556,520607,True,0.00033
1-500-0-38,138362,123988,True,0.00011
1-500-1-65,1383995,1258978,True,0.00037
1-1000-0-44,268665,242570,True,0.00107
1-1000-1-24,2770521,2513818,True,0.00156
1-2000-0-79,543026,491949,True,0.00142
1-2000-1-13,5467892,4961910,True,0.00245
1-5000-0-83,1387236,1255530,True,0.04971
1-5000-1-1,13679207,12398687,True,0.03692
1-10000-0-1,2729934,2467916,True,2.03281
1-10000-1-58,27658039,25008466,True,0.12509
2-50-0-82,15564,11964,True,0.00039
2-50-1-68,164656,130656,True,0.00022
2-100-0-10,30847,23947,False,90.01867
2-100-1-5,318198,246198,True,0.00063
2-200-0-5,66904,53104,True,0.06787
2-200-1-47,639761,499761,False,90.03179
2-500-0-99,156506,121106,True,0.00035
2-500-1-96,1538425,1187425,False,90.03557
2-1000-0-58,325643,256443,False,90.02218
2-1000-1-27,3283061,2589061,False,90.05125
2-2000-0-4,643156,502956,False,90.03371
2-2000-1-38,6432109,5034109,False,90.00571
2-5000-0-83,1605597,1254997,False,90.00222
2-5000-1-89,15882596,12359596,False,90.0274
2-10000-0-47,3186544,2483744,False,90.00125
2-10000-1-15,31808645,24769645,False,90.00085
3-50-0-40,13178,14678,True,6e-05
3-50-1-38,120507,136507,True,0.00797
3-100-0-38,24809,28009,True,0.07322
3-100-1-5,265717,295717,True,0.00344
3-200-0-35,51186,57386,True,1e-05
3-200-1-7,501939,561939,True,0.02853
3-500-0-24,135949,151749,True,85.56603
3-500-1-85,1296891,1452891,False,90.03824
3-1000-0-96,259767,291367,False,90.04201
3-1000-1-83,2695168,3017168,True,0.02561
3-2000-0-73,516635,578835,False,91.48485
3-2000-1-68,5351382,5986382,False,90.01265
3-5000-0-32,1328016,1485816,False,90.00323
3-5000-1-42,13276592,14861592,False,90.02621
3-10000-0-61,2651041,2965841,False,90.03364
3-10000-1-80,26563169,29704169,False,90.00674
4-50-0-30,16536,13130,True,0.0375
4-50-1-41,157369,123292,True,0.07957
4-100-0-38,30063,23058,True,0.01078
4-100-1-44,298009,226909,False,90.00098
4-200-0-35,61694,47484,True,1e-05
4-200-1-40,618240,475334,True,12.58801
4-500-0-45,164130,129509,False,90.02434
4-500-1-93,1611694,1257367,False,90.00315
4-1000-0-26,314286,243243,False,90.04317
4-1000-1-87,3105091,2398066,False,90.01938
4-2000-0-28,639851,498909,False,90.00663
4-2000-1-26,6300709,4889182,False,90.00596
4-5000-0-46,1584551,1231336,False,90.00069
4-5000-1-93,15858809,12320756,False,90.00701
4-10000-0-20,3181364,2477586,True,38.342
4-10000-1-55,31805495,24769427,False,90.00116
5-50-0-2,13570,13570,True,0.14795
5-50-1-90,123285,123285,True,0.0004
5-100-0-29,25100,25100,True,2e-05
5-100-1-40,243763,243763,True,0.00593
5-200-0-39,45790,45790,True,7e-05
5-200-1-54,481746,481746,True,0.00171
5-500-0-17,120681,120681,True,0.00089
5-500-1-54,1250320,1250320,True,0.00801
5-1000-0-8,250298,250298,True,0.00041
5-1000-1-58,2563956,2563956,True,0.02507
5-2000-0-92,494716,494716,True,0.00056
5-2000-1-53,5022175,5022175,True,0.0001
5-5000-0-96,1244484,1244484,True,0.0035
5-5000-1-41,12366675,12366675,True,0.00518
5-10000-0-99,2468138,2468138,True,0.00097
5-10000-1-32,24659849,24659849,True,0.03388
6-50-0-35,19003,2401158,True,0.02992
6-50-1-39,17715,2401189,True,0.0086
6-100-0-25,34564,4902445,True,0.91858
6-100-1-26,37730,4902130,True,0.0353
6-200-0-75,74752,9904655,True,1e-05
6-200-1-31,72836,9905166,True,0.0
6-500-0-41,191515,24713098,False,90.02999
6-500-1-12,183972,24712540,False,90.03361
6-1000-0-72,383526,49524864,True,0.04353
6-1000-1-56,372509,49525061,True,0.0612
6-2000-0-71,743732,99048679,False,90.03412
6-2000-1-79,738207,99048931,False,90.02234
6-5000-0-75,1860294,247622351,False,90.02624
6-5000-1-2,1863907,247621919,False,90.02164
6-10000-0-26,3732762,495246442,False,90.00289
6-10000-1-97,3725430,495251109,False,90.00262
7-50-0-69,7316,5060,True,12.86108
7-50-1-64,70995,76726,False,90.02447
7-100-0-97,15768,16416,True,82.858
7-100-1-31,19890,121095,True,82.83233
7-200-0-10,30043,18850,False,90.01944
7-200-1-20,433551,379044,True,86.55683
7-500-0-21,87509,68287,True,1e-05
7-500-1-27,1248809,691086,False,98.05376
7-1000-0-50,103569,108690,False,90.01102
7-1000-1-32,368326,1496652,False,90.01811
7-2000-0-82,183568,367136,False,90.03037
7-2000-1-93,3648429,2262114,False,90.01127
7-5000-0-37,877698,904380,False,90.0167
7-5000-1-65,4854426,8086658,False,90.0058
7-10000-0-83,2057295,570782,False,90.00055
7-10000-1-26,20311554,9960426,False,90.0007
8-50-0-5,18104,7683,True,3.18436
8-50-1-8,88507,58558,True,1.651
8-100-0-2,4452,24264,True,3.84235
8-100-1-6,237140,204764,True,11.21614
8-200-0-85,47880,18908,False,94.78217
8-200-1-62,618994,291678,False,91.72654
8-500-0-27,202896,85028,False,90.01887
8-500-1-95,1931615,791195,False,90.06495
8-1000-0-33,344668,147633,False,94.19919
8-1000-1-7,1635420,570360,False,90.04014
8-2000-0-3,382725,188650,False,90.00266
8-2000-1-91,4341369,644444,False,90.02985
8-5000-0-30,1110529,510764,False,90.0032
8-5000-1-70,7465920,7350376,False,90.01825
8-10000-0-72,3528758,819468,False,90.00436
8-10000-1-44,32421744,11710632,False,90.00108
9-50-0-12,17687,5587,True,1.57956
9-50-1-43,244007,51007,False,90.07785
9-100-0-76,54809,16309,False,96.81018
9-100-1-57,469062,79062,False,90.02968
9-200-0-15,113240,26240,False,90.0375
9-200-1-17,970970,319970,False,90.04463
9-500-0-2,257813,119213,False,90.03872
9-500-1-20,2411148,935148,False,90.04275
9-1000-0-32,400214,35614,False,90.01603
9-1000-1-88,4249915,731915,False,90.02956
9-2000-0-51,880770,185070,False,90.0175
9-2000-1-16,8195684,2083684,False,90.02805
9-5000-0-33,2156562,730362,False,90.00387
9-5000-1-47,19923100,4879100,False,90.00257
9-10000-0-73,4245155,942055,False,90.00339
9-10000-1-84,50932669,20577669,False,90.00272
10-50-0-63,20675,12775,True,0.00028
10-50-1-41,193294,123294,True,0.00908
10-100-0-96,40159,24659,True,0.00465
10-100-1-77,400938,241938,True,0.00569
10-200-0-38,78120,47220,True,2.91354
10-200-1-70,794712,491712,True,0.23783
10-500-0-37,202676,125076,True,0.43276
10-500-1-65,2016980,1258980,False,90.03579
10-1000-0-4,406938,251538,False,90.03195
10-1000-1-68,4060186,2505186,False,90.01759
10-2000-0-45,805382,494082,True,1.83613
10-2000-1-22,8017716,4930716,False,90.02143
10-5000-0-92,2000870,1226370,False,90.03069
10-5000-1-46,20104537,12300537,False,90.00967
10-10000-0-30,4009097,2455697,False,90.00356
10-10000-1-89,40278003,24729003,False,90.00746
11-50-0-78,12057,12066,True,0.00064
11-50-1-7,104667,104672,True,0.22049
11-100-0-7,23301,23305,True,0.00056
11-100-1-13,242976,242986,False,90.03872
11-200-0-99,50007,50030,False,90.03555
11-200-1-53,486339,486353,False,90.05636
11-500-0-95,123063,123094,False,90.03013
11-500-1-55,1258227,1258263,False,90.08086
11-1000-0-25,244503,244595,False,90.15366
11-1000-1-58,2563851,2563956,False,90.03885
11-2000-0-71,495072,495267,False,90.00772
11-2000-1-51,4979214,4979394,False,90.02818
11-5000-0-76,1232385,1232841,False,90.00532
11-5000-1-81,12429363,12429822,False,90.00406
11-10000-0-72,2475915,2476902,False,90.00209
11-10000-1-52,24627717,24628673,False,90.00194
12-50-0-62,260037,12341,True,0.00905
12-50-1-87,8459572,126900,True,0.02423
12-100-0-13,512485,24322,False,90.04086
12-100-1-87,15215696,228247,True,2.06562
12-200-0-92,1099376,52175,False,90.05209
12-200-1-3,33872688,508116,False,90.03609
12-500-0-32,2527460,119950,False,89.32276
12-500-1-29,82929939,1244012,False,90.11545
12-1000-0-35,5049273,239632,False,90.02735
12-1000-1-34,170981293,2564849,False,90.06533
12-2000-0-44,10307832,489197,False,90.00342
12-2000-1-18,330912654,4963941,False,90.02456
12-5000-0-2,26169827,1241987,False,90.00008
12-5000-1-74,834931247,12524602,False,90.00438
12-10000-0-31,52741354,2503037,False,90.00549
